Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
web,web_3_trace,134.2002592086792,Pass,351.1082398891449,39999981,12570970,3.1819,6018442,170296,0.4788,0.0135,2.8296%,4.2574,4917144,28.8741,122.9287,20999981,5668541,3.7047,3382696,73591,0.5967,0.0130,2.1755%,3.5043,2522353,34.2753,120.1122
web,web_19_trace,46.80075454711914,Pass,140.4187150001526,15000016,9878702,1.5184,2562002,98930,0.2593,0.0100,3.8614%,6.5953,2844261,28.7502,189.6172,8000016,4486569,1.7831,1380363,60595,0.3077,0.0135,4.3898%,7.5744,1403490,23.1618,175.4359
web,web_5_trace,119.46124076843262,Pass,360.5455994606018,39999694,12765549,3.1334,6198022,202074,0.4855,0.0158,3.2603%,5.0519,5131181,25.3926,128.2805,20999694,6567894,3.1973,3330435,114639,0.5071,0.0175,3.4422%,5.4591,2863992,24.9827,136.3826
web,web_20_trace,91.22524166107178,Pass,158.15409541130066,20000004,10806287,1.8508,3186911,93452,0.2949,0.0086,2.9324%,4.6726,2604897,27.8742,130.2448,10000004,3868312,2.5851,1586755,24997,0.4102,0.0065,1.5754%,2.4997,706102,28.2475,70.6102
web,web_4_trace,107.63480854034424,Pass,337.0699985027313,39999718,13667290,2.9267,6265226,190545,0.4584,0.0139,3.0413%,4.7637,5415931,28.4234,135.3992,20999718,6412255,3.2749,3426349,84167,0.5343,0.0131,2.4565%,4.0080,2308438,27.4269,109.9271
web,web_14_trace,235.48800468444824,Pass,617.0644464492798,70000043,19892142,3.5190,11059737,260248,0.5560,0.0131,2.3531%,3.7178,10784641,41.4399,154.0662,35000043,8562013,4.0878,5268168,100262,0.6153,0.0117,1.9032%,2.8646,4211779,42.0077,120.3364
web,web_22_trace,51.9125394821167,Pass,145.34293127059937,20000051,6123466,3.2661,2417352,73209,0.3948,0.0120,3.0285%,3.6604,3137705,42.8596,156.8848,10000051,2664988,3.7524,1222376,31874,0.4587,0.0120,2.6075%,3.1874,1462732,45.8911,146.2725
web,web_11_trace,43.46553611755371,Pass,90.43916893005371,10001443,11883205,0.8416,1391369,67518,0.1171,0.0057,4.8526%,6.7508,2411597,35.7178,241.1249,5001443,5161282,0.9690,674449,30085,0.1307,0.0058,4.4607%,6.0153,1041550,34.6202,208.2499
web,web_0_trace,104.021315574646,Pass,490.8729817867279,39999493,19816986,2.0184,11904941,58813,0.6007,0.0030,0.4940%,1.4703,6473163,110.0635,161.8311,20999493,9726703,2.1590,6370198,20446,0.6549,0.0021,0.3210%,0.9736,2224707,108.8089,105.9410
web,web_6_trace,115.35440254211426,Pass,342.7086887359619,40000022,13453576,2.9732,6002648,208867,0.4462,0.0155,3.4796%,5.2217,5975372,28.6085,149.3842,20000022,6952595,2.8766,2962421,123079,0.4261,0.0177,4.1547%,6.1539,3546620,28.8158,177.3308
web,web_17_trace,54.710463523864746,Pass,122.99530553817749,15000021,6376422,2.3524,2215426,34261,0.3474,0.0054,1.5465%,2.2841,1193079,34.8232,79.5385,8000021,2306853,3.4679,1069158,6227,0.4635,0.0027,0.5824%,0.7784,202194,32.4705,25.2742
web,web_23_trace,60.17267894744873,Pass,169.85467672348022,20000047,6531587,3.0621,3286069,32368,0.5031,0.0050,0.9850%,1.6184,1039087,32.1023,51.9542,10000047,4687948,2.1331,1544231,21417,0.3294,0.0046,1.3869%,2.1417,701822,32.7694,70.1819
web,web_16_trace,61.720746994018555,Pass,173.5388960838318,20000052,10201935,1.9604,1486259,45581,0.1457,0.0045,3.0668%,2.2790,1516969,33.2807,75.8483,10000052,7022299,1.4240,732871,27586,0.1044,0.0039,3.7641%,2.7586,964437,34.9611,96.4432
web,web_8_trace,110.87185478210449,Pass,343.4878559112549,39999955,14360251,2.7855,6210740,217990,0.4325,0.0152,3.5099%,5.4498,5582714,25.6100,139.5680,20999955,5953842,3.5271,3431526,95192,0.5764,0.0160,2.7740%,4.5330,2370192,24.8991,112.8665
web,web_13_trace,134.68522262573242,Pass,365.0043852329254,39999813,17380642,2.3014,4813533,144823,0.2769,0.0083,3.0087%,3.6206,4385450,30.2814,109.6368,20999813,7289484,2.8808,2687998,64172,0.3688,0.0088,2.3874%,3.0558,2115363,32.9640,100.7325
web,web_15_trace,61.94837951660156,Pass,133.88495588302612,14999858,8355335,1.7952,2411251,100525,0.2886,0.0120,4.1690%,6.7017,2809158,27.9449,187.2790,7999858,3417620,2.3408,1229867,44279,0.3599,0.0130,3.6003%,5.5350,1108798,25.0412,138.6022
web,web_25_trace,46.08135795593262,Pass,141.14779996871948,14999989,7609070,1.9713,2548670,104727,0.3350,0.0138,4.1091%,6.9818,3385462,32.3265,225.6976,7999989,3053329,2.6201,1342253,55752,0.4396,0.0183,4.1536%,6.9690,1819789,32.6408,227.4739
web,web_18_trace,40.12125015258789,Pass,131.98254203796387,15000059,4030783,3.7214,1853795,46648,0.4599,0.0116,2.5164%,3.1099,2160387,46.3125,144.0252,8000059,1999922,4.0002,994147,21693,0.4971,0.0108,2.1821%,2.7116,1051983,48.4941,131.4969
web,web_12_trace,61.48514461517334,Pass,117.36138439178467,15000009,9548107,1.5710,2254326,75648,0.2361,0.0079,3.3557%,5.0432,2399070,31.7136,159.9379,8000009,4321672,1.8511,1175254,40001,0.2719,0.0093,3.4036%,5.0001,1190110,29.7520,148.7636
web,web_21_trace,37.0328950881958,Pass,121.15535998344421,15000054,6135691,2.4447,2614946,33488,0.4262,0.0055,1.2806%,2.2325,2267421,67.7085,151.1609,8000054,4911813,1.6287,1411368,26691,0.2873,0.0054,1.8911%,3.3364,2040114,76.4345,255.0125
web,web_1_trace,158.93916416168213,Pass,387.0903580188751,39999048,12410099,3.2231,5515292,152679,0.4444,0.0123,2.7683%,3.8171,4914040,32.1854,122.8539,20999048,5089630,4.1258,2909408,76232,0.5716,0.0150,2.6202%,3.6303,2067122,27.1162,98.4388
web,web_24_trace,80.5669527053833,Pass,143.2413101196289,14999923,8641104,1.7359,1985890,40958,0.2298,0.0047,2.0625%,2.7305,1151244,28.1079,76.7500,7999923,4041695,1.9793,1067447,14942,0.2641,0.0037,1.3998%,1.8678,423023,28.3110,52.8784
web,web_10_trace,67.32332420349121,Pass,190.8355062007904,19999796,11436219,1.7488,2621960,76376,0.2293,0.0067,2.9129%,3.8188,2254718,29.5213,112.7370,10999796,3369090,3.2649,1436395,28504,0.4263,0.0085,1.9844%,2.5913,756629,26.5447,68.7857
