Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
web,web_3_trace,134.2002592086792,Pass,359.2772195339203,39999981,12439478,3.2156,6018442,163198,0.4838,0.0131,2.7116%,4.0800,4774456,29.2556,119.3615,20999981,5685472,3.6936,3382696,74604,0.5950,0.0131,2.2055%,3.5526,2536340,33.9974,120.7782
web,web_19_trace,46.80075454711914,Pass,129.54912114143372,15000016,9728237,1.5419,2562002,91050,0.2634,0.0094,3.5539%,6.0700,2677123,29.4028,178.4747,8000016,4484030,1.7841,1380363,60292,0.3078,0.0134,4.3678%,7.5365,1401049,23.2377,175.1308
web,web_5_trace,119.46124076843262,Pass,354.54616618156433,39999694,12675554,3.1557,6198022,197496,0.4890,0.0156,3.1864%,4.9374,5037257,25.5056,125.9324,20999694,6654702,3.1556,3330435,119041,0.5005,0.0179,3.5743%,5.6687,2952706,24.8041,140.6071
web,web_20_trace,91.22524166107178,Pass,177.71201968193054,20000004,10611867,1.8847,3186911,83831,0.3003,0.0079,2.6305%,4.1915,2396664,28.5892,119.8332,10000004,3856752,2.5929,1586755,24487,0.4114,0.0063,1.5432%,2.4487,694342,28.3555,69.4342
web,web_4_trace,107.63480854034424,Pass,347.97014927864075,39999718,13634236,2.9338,6265226,186982,0.4595,0.0137,2.9844%,4.6746,5381358,28.7801,134.5349,20999718,6479728,3.2408,3426349,87563,0.5288,0.0135,2.5556%,4.1697,2373155,27.1023,113.0089
web,web_14_trace,235.48800468444824,Pass,738.0956406593323,70000043,19849088,3.5266,11059737,258057,0.5572,0.0130,2.3333%,3.6865,10740663,41.6213,153.4379,35000043,8571302,4.0834,5268168,100945,0.6146,0.0118,1.9161%,2.8841,4223680,41.8414,120.6764
web,web_22_trace,51.9125394821167,Pass,144.541175365448,20000051,6030465,3.3165,2417352,67931,0.4009,0.0113,2.8101%,3.3965,3032067,44.6345,151.6030,10000051,2662012,3.7566,1222376,31512,0.4592,0.0118,2.5779%,3.1512,1455555,46.1905,145.5548
web,web_11_trace,43.46553611755371,Pass,87.91444253921509,10001443,11677593,0.8565,1391369,57243,0.1191,0.0049,4.1141%,5.7235,2203741,38.4980,220.3423,5001443,5134320,0.9741,674449,28730,0.1314,0.0056,4.2598%,5.7443,1014308,35.3048,202.8031
web,web_0_trace,104.021315574646,Pass,507.35997772216797,39999493,20144818,1.9856,11904941,65244,0.5910,0.0032,0.5480%,1.6311,6890675,105.6139,172.2691,20999493,9824168,2.1375,6370198,23573,0.6484,0.0024,0.3701%,1.1226,2334830,99.0468,111.1851
web,web_6_trace,115.35440254211426,Pass,367.3471269607544,40000022,13418202,2.9810,6002648,206588,0.4474,0.0154,3.4416%,5.1647,5941811,28.7616,148.5452,20000022,7042851,2.8398,2962421,127684,0.4206,0.0181,4.3101%,6.3842,3641534,28.5199,182.0765
web,web_17_trace,54.710463523864746,Pass,128.0660011768341,15000021,6233413,2.4064,2215426,27798,0.3554,0.0045,1.2547%,1.8532,1037388,37.3188,69.1591,8000021,2310557,3.4624,1069158,6688,0.4627,0.0029,0.6255%,0.8360,206325,30.8500,25.7906
