Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
web,web_3_trace,134.2002592086792,Pass,327.7054171562195,39999981,12390709,3.2282,6018442,161200,0.4857,0.0130,2.6784%,4.0300,4743888,29.4286,118.5973,20999981,5659312,3.7107,3382696,73284,0.5977,0.0129,2.1664%,3.4897,2514270,34.3086,119.7273
web,web_19_trace,46.80075454711914,Pass,126.31973004341125,15000016,9769601,1.5354,2562002,92632,0.2622,0.0095,3.6156%,6.1755,2754650,29.7376,183.6431,8000016,4497262,1.7789,1380363,60912,0.3069,0.0135,4.4128%,7.6140,1414986,23.2300,176.8729
web,web_5_trace,119.46124076843262,Pass,326.1975312232971,39999694,12586230,3.1781,6198022,192059,0.4924,0.0153,3.0987%,4.8015,4944503,25.7447,123.6135,20999694,6562027,3.2002,3330435,114153,0.5075,0.0174,3.4276%,5.4359,2857084,25.0285,136.0536
web,web_20_trace,91.22524166107178,Pass,159.61101818084717,20000004,10660985,1.8760,3186911,85993,0.2989,0.0081,2.6983%,4.2996,2452615,28.5211,122.6307,10000004,3875597,2.5802,1586755,25330,0.4094,0.0065,1.5963%,2.5330,715878,28.2621,71.5878
web,web_4_trace,107.63480854034424,Pass,337.64967489242554,39999718,13489814,2.9652,6265226,180369,0.4644,0.0134,2.8789%,4.5093,5259889,29.1618,131.4982,20999718,6403611,3.2794,3426349,83771,0.5351,0.0131,2.4449%,3.9891,2300102,27.4570,109.5301
web,web_14_trace,235.48800468444824,Pass,631.2778148651123,70000043,19896665,3.5182,11059737,260746,0.5559,0.0131,2.3576%,3.7249,10826163,41.5200,154.6594,35000043,8578256,4.0801,5268168,101386,0.6141,0.0118,1.9245%,2.8967,4242620,41.8462,121.2176
web,web_22_trace,51.9125394821167,Pass,145.52203249931335,20000051,6059040,3.3009,2417352,69334,0.3990,0.0114,2.8682%,3.4667,3076949,44.3786,153.8471,10000051,2660644,3.7585,1222376,31626,0.4594,0.0119,2.5873%,3.1626,1455646,46.0269,145.5639
web,web_11_trace,43.46553611755371,Pass,85.52995538711548,10001443,11735525,0.8522,1391369,59398,0.1186,0.0051,4.2690%,5.9389,2271456,38.2413,227.1128,5001443,5166219,0.9681,674449,30092,0.1305,0.0058,4.4617%,6.0167,1045771,34.7525,209.0939
web,web_0_trace,104.021315574646,Pass,448.8354299068451,39999493,20299663,1.9705,11904941,61494,0.5865,0.0030,0.5165%,1.5374,7834086,127.3959,195.8546,20999493,10128983,2.0732,6370198,23248,0.6289,0.0023,0.3649%,1.1071,3176380,136.6302,151.2598
web,web_6_trace,115.35440254211426,Pass,360.44631028175354,40000022,13269640,3.0144,6002648,198965,0.4524,0.0150,3.3146%,4.9741,5789279,29.0970,144.7319,20000022,6930218,2.8859,2962421,122241,0.4275,0.0176,4.1264%,6.1120,3524404,28.8316,176.2200
